origin;destination;number
30002812;26100037;10.0
37800005;37800002;20.0
30000511;30000824;10.0
30001146;11370001;10.0
30000848;30000914;10.0
30001221;10560001;50.0
36500001;30001021;10.0
30002212;30002112;20.0
30000931;30000912;10.0
12000013;37970007;10.0
30002212;30002111;10.0
30001123;30001632;10.0
30000923;10150005;10.0
30000812;30001114;10.0
30002411;30001334;10.0
30001142;30001122;10.0
30002411;other;120.0
30000931;30000911;20.0
12000021;8090001;10.0
other;37800005;70.0
30001312;30001021;10.0
37800006;30002811;10.0
30000841;other;120.0
other;37800002;10.0
30001337;30002911;10.0
30000848;30000924;10.0
30000848;30000923;10.0
30002412;30000511;10.0
30000411;30000932;10.0
30000847;30000832;10.0
30001142;30001114;10.0
30002611;30002811;80.0
30001345;30002811;10.0
30002611;30002812;10.0
30001013;10560001;10.0
12000015;12000033;10.0
37800007;other;320.0
4720001;36160002;10.0
30000125;30000135;10.0
30000853;30001012;10.0
30000531;26100032;10.0
36160008;37800005;20.0
30000848;30000932;20.0
30001333;30001345;10.0
30001336;30002412;20.0
30002513;30001114;10.0
4720001;36160008;40.0
30001021;30000512;10.0
30000853;30001015;10.0
30000513;other;40.0
30001217;30002412;10.0
30001143;30002511;10.0
30000511;30000812;10.0
30002812;30000846;10.0
30002911;30002412;10.0
30001146;other;190.0
30001216;30001023;10.0
30001622;30000832;10.0
30001644;30001215;10.0
30001644;30001217;10.0
30001221;30002412;20.0
37800008;37800006;10.0
12000026;other;170.0
30001222;30001624;10.0
30001211;30001311;10.0
30001212;30000924;10.0
30002311;30000812;20.0
10150002;36160008;10.0
30000512;30002411;10.0
10150006;30000543;10.0
36160005;37800004;10.0
30000832;30000932;10.0
36160005;37800005;10.0
30000853;30001032;10.0
30001021;30000934;20.0
30002811;30001021;10.0
30000832;30000923;10.0
30002811;30001023;20.0
30000853;30001034;10.0
30001016;30000412;10.0
30000114;30000924;10.0
30000853;30001035;10.0
30001021;30000932;10.0
30001022;30001021;10.0
30001214;30002611;10.0
30002312;30001345;10.0
30000122;30002111;10.0
30000122;30002112;10.0
30000932;30001032;10.0
30000831;30000421;10.0
30000831;30000426;10.0
30001625;30000812;10.0
other;30000113;20.0
other;30000112;20.0
30000931;30000924;20.0
26100013;other;440.0
30000533;30002511;10.0
30001034;30002911;10.0
30000421;30000543;20.0
30001342;30000848;30.0
30001342;30000847;10.0
30001311;30000511;10.0
10150004;other;180.0
30000932;30001021;20.0
30001334;30000543;20.0
30001625;30000824;10.0
30000932;30001023;10.0
26100032;30001345;10.0
30001114;30002111;10.0
other;30000125;10.0
30001142;30001147;10.0
30002611;10150005;10.0
other;30000122;10.0
other;30000121;10.0
30001142;30001146;10.0
30000931;30000932;10.0
other;30000116;20.0
30001352;30000863;10.0
30002111;30002411;10.0
30000122;other;150.0
30001321;30000533;10.0
30001024;10560001;20.0
30000911;30000848;10.0
26100013;12000034;10.0
26100024;26100035;10.0
30001132;30001641;10.0
30000541;30002513;10.0
30002411;30000514;10.0
30002411;30000511;10.0
30001221;30001121;20.0
30001035;30002911;10.0
30001132;other;510.0
30000121;other;300.0
30000924;30000931;10.0
30001214;30001312;10.0
30001214;30001313;10.0
30000811;30001221;20.0
30002111;30001214;10.0
30000924;30000934;10.0
30000854;30000824;10.0
30000543;30000924;20.0
30002612;30000512;10.0
30000421;other;570.0
30002612;30000511;30.0
30001014;other;50.0
30002411;30000523;10.0
30001146;30000934;10.0
other;30002911;10.0
30000543;30000934;10.0
30000543;30000932;10.0
30002411;12000014;10.0
30000836;other;70.0
4720001;30001021;60.0
26100023;other;100.0
30002211;30000848;10.0
7400001;26100031;10.0
30002613;30000812;20.0
30002112;37970007;10.0
30000824;30001345;10.0
30001132;30002512;10.0
30001313;30000858;10.0
30002611;30002411;10.0
26100026;30000841;10.0
30002611;30002412;10.0
30002411;30000531;10.0
30001221;30001146;20.0
30000425;30000923;10.0
30000425;30000924;40.0
36500001;30001217;10.0
30001021;30000121;10.0
30000513;30000543;10.0
30001134;30000924;10.0
30002613;30000811;10.0
30001144;30001221;20.0
30000924;30000912;10.0
30000924;30000915;10.0
30000113;other;240.0
4720001;30001032;10.0
30000531;30000915;10.0
30000531;30000914;10.0
30000824;30001337;10.0
30000426;other;130.0
30002211;30000835;10.0
30001313;30000841;10.0
30002411;30000541;10.0
37800006;other;570.0
4720001;8090001;10.0
30000924;30000924;20.0
30000831;other;20.0
10150006;30000511;10.0
other;12000034;10.0
30000933;other;30.0
other;12000033;40.0
30000511;30001034;20.0
other;12000032;20.0
other;12000031;10.0
30001221;other;280.0
30001032;30001142;10.0
30000824;30002612;10.0
30001012;10560001;30.0
30001352;37800004;10.0
30000522;30000924;10.0
30000533;26100026;10.0
36160008;other;360.0
30001016;30000924;10.0
30000421;30001015;40.0
30000421;30001016;10.0
30000421;30001011;10.0
30001211;37970008;10.0
30000832;30000531;10.0
30001032;30001146;30.0
30000832;30002711;10.0
30002312;other;740.0
30000832;30000533;10.0
30002613;30000832;20.0
30001032;30001147;10.0
other;12000026;30.0
other;12000025;20.0
12000041;other;120.0
30002111;30002112;250.0
other;12000041;10.0
37800005;30001633;10.0
30000824;30000421;10.0
37800005;30001632;10.0
30001032;30001132;10.0
30002613;30000848;40.0
12000025;30000511;10.0
30002111;30002111;80.0
other;10150006;20.0
other;10150004;100.0
30000824;30000425;10.0
36500001;30001221;10.0
30001032;36160002;10.0
other;10150005;60.0
30001032;36160003;10.0
30000522;30000913;10.0
30000511;30001043;20.0
other;10150002;80.0
30000924;36160010;10.0
other;10150003;20.0
30002211;other;560.0
30000522;30000916;10.0
other;10150001;10.0
30000523;other;140.0
7410001;7800001;10.0
30000123;30001032;10.0
30000932;10560001;10.0
30000858;30000542;10.0
30001223;30000812;10.0
30001024;30001043;10.0
30001353;30001345;10.0
30000515;other;80.0
30001142;10560001;20.0
30002811;other;580.0
37970002;30000511;10.0
30001021;12000032;10.0
30000123;30001021;20.0
30002412;30000832;10.0
12000011;other;70.0
30000135;30002311;10.0
30002612;30000924;20.0
30002612;30000923;10.0
30000434;other;250.0
other;12000022;10.0
other;12000021;10.0
30000543;30000511;20.0
30001143;30001342;10.0
30000923;30002411;20.0
30000853;30000122;10.0
30000923;30002412;20.0
30001345;30001632;10.0
30001021;12000043;10.0
30000523;30000812;10.0
30000135;30000122;10.0
30001032;30001114;30.0
30001321;30000932;10.0
30000543;30000513;10.0
other;12000015;10.0
other;12000014;20.0
other;12000013;30.0
30001112;30000811;10.0
30001021;30001035;10.0
30002812;30001123;10.0
30002411;30000914;30.0
30000853;30000932;20.0
30000835;30000134;10.0
30000542;30002411;10.0
30002811;30000543;10.0
30002611;30001147;10.0
30002212;26100033;10.0
30000542;30002412;10.0
30001021;30001032;10.0
30000924;30002711;10.0
30000832;30001021;10.0
37800002;other;760.0
30000135;30000114;10.0
37300003;other;410.0
30002112;30001114;10.0
30002312;30002911;10.0
30002811;30000533;20.0
30002811;30002711;10.0
30000857;30001147;10.0
30000422;30000431;10.0
30002811;30000531;10.0
30000924;30000543;20.0
30001121;10560001;20.0
26100037;30000511;20.0
30001641;30002811;10.0
30002112;30001112;10.0
11370001;11370001;10.0
37970003;30002111;10.0
30001223;30001337;10.0
30002112;30002412;10.0
30002812;30001146;10.0
30000425;30000521;10.0
30002411;30000934;10.0
30001034;30001345;40.0
30002411;30000931;10.0
30001044;30001112;10.0
30000114;30000136;10.0
30000114;30000135;30.0
10150003;30000924;20.0
30000114;30000134;20.0
30000522;30000543;30.0
10150006;30000924;30.0
30000924;30000511;10.0
30000114;30000132;10.0
30001034;30001342;10.0
36160009;other;480.0
30001032;30002412;10.0
30002311;30000435;10.0
30002311;30002613;10.0
36160007;30000511;10.0
30001625;30001313;30.0
30000924;other;540.0
30000523;30002112;10.0
30001622;30000123;10.0
30001034;30001337;10.0
30002811;30000511;20.0
30000425;30000511;10.0
30000914;30000853;10.0
30001213;10560001;20.0
30000422;30000411;10.0
37970007;12000032;10.0
37970007;12000034;20.0
10150006;30000914;10.0
4720001;37800006;10.0
10150006;30000915;20.0
30000924;30000521;20.0
37970009;30000432;10.0
37300001;36500001;10.0
30000864;30000914;10.0
30002311;30001345;10.0
30001344;30000924;20.0
30001014;30002513;10.0
30001011;30001345;10.0
4720001;30000511;10.0
30000514;30000425;10.0
30001352;other;350.0
30001313;30000832;10.0
26100027;26100034;10.0
30000422;other;340.0
30001133;other;180.0
30000114;30000116;10.0
30001015;other;370.0
30000832;30000134;10.0
30001213;30001624;10.0
30001631;other;130.0
30000832;30000136;10.0
37970007;12000025;20.0
37970007;12000026;30.0
36160007;10150004;10.0
37800006;30001012;10.0
36160007;10150005;10.0
30001625;30001334;10.0
30000824;30001353;10.0
30000914;30000432;10.0
30000914;30000433;10.0
12000014;37970003;10.0
30000425;30000531;10.0
30000924;37800007;10.0
10150003;30000914;10.0
30001212;30001345;10.0
30001643;30001213;10.0
30002611;30001114;20.0
30002611;30001115;10.0
30001643;30001217;20.0
30002211;30002111;10.0
30002211;30002112;60.0
37970007;12000012;20.0
36500001;30001624;10.0
37970007;12000013;10.0
30001336;30000812;10.0
30002512;30001336;10.0
30000425;other;180.0
30001144;10560001;10.0
30001632;30001146;10.0
37970007;12000014;10.0
30000135;30000543;10.0
30000821;30001021;10.0
30001625;30001345;10.0
30001622;30001024;10.0
30000914;30000426;20.0
30001141;30001221;10.0
26100014;30000847;10.0
37300004;other;630.0
30002612;30000522;10.0
30000914;30000421;20.0
30000853;30000511;10.0
30001133;30001043;10.0
36160006;30002412;10.0
30001622;30001021;10.0
30001122;30000924;10.0
30001643;30002512;10.0
7790001;30001124;10.0
30000411;30002112;10.0
30001123;30002111;10.0
30002512;30001345;10.0
10150005;30002811;10.0
30001124;30002811;10.0
12000012;30000812;10.0
30000424;30001032;10.0
30002612;30002711;20.0
30001353;30002611;10.0
36160010;30001021;10.0
30001622;30001012;10.0
4720001;30000543;10.0
30000914;30000411;10.0
30001147;10560001;30.0
30001222;30001032;10.0
30000514;30000432;10.0
30002112;36440001;10.0
30000511;37800006;10.0
30000511;37800007;10.0
30001351;other;300.0
30000122;26100032;10.0
30000432;30001216;10.0
30001131;other;100.0
30001223;30002611;10.0
other;30001141;20.0
30000413;30000542;10.0
30001141;30001124;20.0
36500001;36160002;60.0
other;30001146;20.0
30001035;30001146;10.0
30001035;30001147;10.0
30000862;30001345;10.0
30000114;other;640.0
30000824;30000912;10.0
30002612;30001032;20.0
30001035;30001141;10.0
36500001;36160007;10.0
other;30001142;10.0
36500001;36160008;20.0
other;30001143;10.0
30000824;30000915;10.0
30001353;other;90.0
30000932;30002411;20.0
26100024;other;250.0
30001141;30001114;10.0
30000864;other;180.0
37970007;26100037;30.0
37970007;26100034;20.0
30002211;30001345;10.0
30000932;30002412;10.0
30001314;30001114;10.0
30001643;30000811;10.0
37970007;26100038;10.0
37300001;30000924;10.0
26100031;30000511;20.0
30000934;30000811;10.0
30001013;30000914;20.0
30000513;36160003;10.0
30001147;30001622;10.0
30000821;30002311;10.0
30001141;30001147;10.0
30001141;30001146;30.0
30000412;30002411;10.0
30001013;other;310.0
other;30001124;10.0
12000034;30000543;10.0
30001123;30000812;10.0
12000012;30002111;10.0
30000932;30001114;10.0
30001212;30001313;10.0
other;30001123;10.0
other;30001121;10.0
36160002;30001345;10.0
30000424;30001114;10.0
26100031;37970007;10.0
12000014;30000511;10.0
30001211;30001013;10.0
26100031;37970009;20.0
30002811;30000924;10.0
26100031;37970008;10.0
30001042;other;120.0
26100036;12000034;10.0
30000836;30000848;10.0
30000934;30000848;10.0
30001143;30000848;10.0
30000934;30000841;10.0
30002613;30001345;10.0
12000022;30000511;20.0
30001141;30001134;10.0
7400001;36160007;10.0
30001344;30000811;10.0
30002212;30002412;30.0
30000848;30000411;10.0
30002212;30002411;20.0
30000123;30000924;10.0
30002612;30001021;20.0
30000824;30000924;10.0
30000123;30000923;10.0
36160008;30000848;10.0
30002311;other;360.0
30000422;30000934;40.0
36160002;30001336;10.0
10150002;30001013;10.0
36160002;30001337;10.0
30001015;30002412;20.0
4720001;10150006;30.0
30002711;30001213;10.0
30000433;30000531;20.0
30001632;other;650.0
30000931;30002112;10.0
12000015;other;120.0
30000836;30000853;10.0
30000931;30002111;10.0
36160007;30000543;10.0
30001121;30001141;20.0
26100016;12000033;10.0
37800008;30002811;10.0
30000523;30001352;10.0
30000848;30000821;10.0
30002211;30001313;10.0
30002211;30001312;10.0
30001634;other;360.0
30000434;30000812;10.0
30002512;30000511;10.0
26100034;30001337;10.0
other;7400001;10.0
30001624;36160004;10.0
30001121;30001146;10.0
37800002;30002811;10.0
30001622;30000543;10.0
30001121;30001134;10.0
30001355;other;30.0
30000511;30000512;10.0
30000422;37970007;10.0
36160008;30000821;10.0
10150002;37800005;30.0
30001336;30001624;10.0
12000013;other;140.0
other;26100012;20.0
30000924;30001034;60.0
30000924;30001035;20.0
30000924;30001032;30.0
30001211;30001023;10.0
30002512;37970009;10.0
36160005;other;350.0
30001223;30001345;10.0
30000112;other;350.0
30000934;30000853;10.0
30000135;30000932;10.0
30001216;30002412;10.0
30000848;30000848;10.0
30000413;30000523;10.0
30000914;30000824;10.0
37800006;37800007;10.0
37800006;37800006;10.0
30001146;30001334;10.0
30002311;37970009;10.0
30002311;37970008;10.0
30001221;30001622;10.0
other;26100032;30.0
26100027;other;270.0
30000522;other;160.0
36160009;11370001;10.0
30002512;30000533;10.0
30000864;30000533;20.0
30000531;30000542;10.0
10150006;4720001;10.0
30001321;30001345;10.0
36160007;other;130.0
30001321;30001341;10.0
36160009;36160001;10.0
36160009;36160002;10.0
30002612;30002312;10.0
30000413;30000511;20.0
30000914;30000812;10.0
30002812;other;300.0
30001624;30001146;30.0
36160005;30000822;10.0
30000521;other;190.0
30001212;30002611;10.0
other;26100034;10.0
26100026;other;500.0
30002211;30001322;20.0
30000924;30001016;10.0
30000832;30001034;20.0
30000853;30000923;30.0
30000832;30001032;10.0
30000853;30000924;30.0
30001022;30000915;10.0
30001121;30001114;10.0
30001115;30002512;10.0
30001337;30002811;20.0
12000012;other;200.0
30000824;30000511;20.0
30002412;30000412;10.0
30001211;30000543;10.0
36160004;other;250.0
26100033;26100035;10.0
30001044;other;40.0
10150005;30001023;10.0
26100033;26100033;10.0
10150005;30001021;20.0
26100033;26100032;20.0
30001124;30001141;20.0
30001142;30001012;20.0
30001342;30001631;10.0
30002411;30000111;10.0
26100033;26100036;10.0
12000013;12000022;10.0
30000111;other;40.0
30000433;30001015;20.0
30000122;30001114;10.0
30001011;30000864;10.0
30000831;30001641;10.0
30001644;30001147;10.0
other;36160002;70.0
30002511;26100032;10.0
other;36160007;130.0
other;36160008;140.0
30001214;37970009;10.0
other;36160009;20.0
30002212;30001146;10.0
other;36160003;20.0
10150005;30001011;10.0
other;36160005;10.0
12000013;12000015;20.0
30000421;30002411;20.0
30000421;30002412;10.0
30000123;30000543;20.0
30001013;30000511;20.0
other;11130001;20.0
37800006;30000511;50.0
30000864;30000543;10.0
26100021;other;270.0
30001041;10560001;20.0
30000812;30001021;10.0
30001133;10560001;30.0
30000812;30001023;20.0
30001221;30002511;10.0
30000853;30002212;10.0
10560001;other;20.0
12000014;30000912;10.0
30002411;30000135;10.0
30001313;30002512;10.0
36160003;other;270.0
30001355;30002711;10.0
30001352;30000533;10.0
30001042;30000924;10.0
36160008;30001313;10.0
30000511;30000923;10.0
30000511;30000924;20.0
37800005;36160006;10.0
37800005;36160007;10.0
30000841;30000125;10.0
37800005;36160004;30.0
30001333;30001222;10.0
30000523;30000853;10.0
30001142;30002312;10.0
36160002;37300004;10.0
30001352;30000543;10.0
12000013;12000033;10.0
30002412;30000864;10.0
30000514;30000914;10.0
30000511;30000934;10.0
30000511;30000933;10.0
30001622;30000924;10.0
10150002;36500001;10.0
26100036;26100032;10.0
30002512;30000912;20.0
30000123;30000116;10.0
30000523;30000426;10.0
30000434;30000411;10.0
30001122;37800006;10.0
12000016;other;80.0
36160002;30002612;10.0
12000033;12000014;20.0
30002613;30002613;10.0
30000832;other;200.0
26100022;other;580.0
30002613;30002612;10.0
30000835;other;40.0
30002613;30000432;20.0
30002613;30002611;10.0
30001343;30001032;10.0
30000531;30000931;10.0
30001625;30000923;10.0
30000531;30000934;10.0
